Obj           Name     X     Y     Z         RA       DEC        VRAD   MAJ   MIN       PA     w_RA    w_DEC       w_50       w_20     w_VRAD     F_int     F_tot    F_peak S/Nmax  X1  X2  Y1  Y2  Z1  Z2  Npix Flag  X_av  Y_av  Z_av X_cent Y_cent Z_cent X_peak Y_peak Z_peak
#                                                                  [m/s] [deg] [deg]    [deg] [arcmin] [arcmin]      [m/s]      [m/s]      [m/s]  [Jy m/s] [Jy/beam] [Jy/beam]                                [pix]                                                                 
    1 J055212-291709 117.0  30.4 727.0 05:52:12.8 -29:17:09 8304024.108  0.27  0.01   0.0001     3.58    20.10 207236.008 297689.925 369356.996 25309.725    28.175     0.479  86.13 117 117  28  32 713 741   125    - 117.0  30.2 727.2  117.0   30.4  727.0    117     30    733
    2 J061118-213701  52.6 145.4 162.6 06:11:18.6 -21:37:01  858092.268  0.27  0.26   0.5836    32.39    23.49  86755.433 109588.894 171487.177 30930.380    34.432     0.410  73.83  49  56 142 147 156 169   391    E  52.6 145.1 162.5   52.6  145.4  162.6     53    146    164
    3 J061807-253147  30.5  86.2 113.0 06:18:07.7 -25:31:47  204899.244  0.66  0.29 118.1381    57.40    42.28  27077.148  40198.090  52765.285 16772.813    18.672     0.350  63.07  25  38  81  91 113 117   300   EM  30.3  86.2 114.3   30.5   86.2  113.0     32     87    113
    4 J060108-234005  88.0 115.0 235.6 06:01:08.2 -23:40:05 1821051.677  0.27  0.23  92.7151    39.95    36.09 199530.549 248980.425 303400.390 61494.062    68.456     0.297  53.40  83  92 111 119 225 248   863    -  87.9 114.9 235.8   88.0  115.0  235.6     88    115    231
    5 J060912-215645  59.9 140.6 114.7 06:09:12.7 -21:56:45  227155.070  0.70  0.34 109.9448    81.45    95.06  30600.657  69446.556  92339.249 14544.662    16.191     0.213  38.24  50  69 123 146 113 120   716    M  59.1 137.1 114.7   59.9  140.6  114.7     59    140    114
    6 J055156-220638 119.9 138.0 434.4 05:51:56.8 -22:06:38 4443878.692  0.67  0.08 161.6380    11.48    32.30  20363.094  32968.326  65956.606  1364.590     1.519     0.181  32.64 119 121 134 141 432 437    44    - 119.9 137.8 434.4  119.9  138.0  434.4    121    140    434
    7 J060033-285851  89.8  35.3 202.2 06:00:33.1 -28:58:51 1381103.319  0.29  0.25 135.7100    27.89    32.12 176749.683 194224.120 224252.462 20198.982    22.486     0.173  31.10  87  93  32  39 194 211   429    -  89.8  35.3 202.2   89.8   35.3  202.2     90     36    197
    8 J055507-295654 107.3  20.7 367.6 05:55:07.6 -29:56:54 3562321.385  0.25  0.24  22.8164    19.59    28.32  30302.041  45620.375 105530.570  4945.049     5.505     0.169  30.44 105 109  18  24 363 371   145    - 107.4  20.7 367.4  107.3   20.7  367.6    108     21    367
    9 J060052-214245  88.9 144.2 232.3 06:00:52.8 -21:42:45 1778175.656  0.31  0.24 118.0778    35.95    28.16 102722.665 225005.576 277017.747 27016.340    30.075     0.166  29.78  85  93 141 147 220 241   593    E  89.0 144.2 231.9   88.9  144.2  232.3     89    144    233
